claim_id,policyholder_id,claim_type,claim_amount,severity,status,claim_date,description
CL_000001,PH_000558,Health,193.93,Low,Closed,2024-06-16 20:57:36.472984,Health claim - Low severity
CL_000002,PH_000664,Property,4380.91,High,Open,2024-11-18 20:57:36.472984,Property claim - High severity
CL_000003,PH_000931,Property,3286.37,High,Closed,2024-03-24 20:57:36.472984,Property claim - High severity
CL_000004,PH_000847,Auto,2714.83,High,Closed,2024-12-02 20:57:36.472984,Auto claim - High severity
CL_000005,PH_000074,Auto,1049.43,Low,Denied,2025-05-20 20:57:36.472984,Auto claim - Low severity
CL_000006,PH_000170,Property,281.76,Low,Closed,2021-04-10 20:57:36.472984,Property claim - Low severity
CL_000007,PH_000315,Life,351.27,Low,Closed,2022-05-20 20:57:36.472984,Life claim - Low severity
CL_000008,PH_000767,Property,663.58,Low,Closed,2021-02-04 20:57:36.472984,Property claim - Low severity
CL_000009,PH_000583,Auto,592.6,Low,Open,2024-02-06 20:57:36.472984,Auto claim - Low severity
CL_000010,PH_000450,Auto,277.1,Low,Under Review,2025-01-08 20:57:36.472984,Auto claim - Low severity
CL_000011,PH_000480,Health,2157.55,Medium,Closed,2021-11-09 20:57:36.472984,Health claim - Medium severity
CL_000012,PH_000312,Disability,1290.48,Medium,Denied,2021-10-17 20:57:36.472984,Disability claim - Medium severity
CL_000013,PH_000413,Property,1114.68,Medium,Closed,2024-03-11 20:57:36.472984,Property claim - Medium severity
CL_000014,PH_000513,Property,1244.52,Medium,Closed,2022-09-10 20:57:36.472984,Property claim - Medium severity
CL_000015,PH_000506,Property,688.02,Medium,Denied,2023-04-07 20:57:36.472984,Property claim - Medium severity
CL_000016,PH_000083,Life,481.26,Low,Denied,2022-05-14 20:57:36.472984,Life claim - Low severity
CL_000017,PH_000041,Auto,616.13,Medium,Closed,2020-09-24 20:57:36.472984,Auto claim - Medium severity
CL_000018,PH_000443,Life,100.21,Low,Closed,2021-08-07 20:57:36.472984,Life claim - Low severity
CL_000019,PH_000331,Property,1162.77,Medium,Closed,2022-05-02 20:57:36.473985,Property claim - Medium severity
CL_000020,PH_000257,Auto,153.8,Low,Closed,2025-07-29 20:57:36.473985,Auto claim - Low severity
CL_000021,PH_000094,Health,3071.5,Medium,Denied,2024-06-08 20:57:36.473985,Health claim - Medium severity
CL_000022,PH_000985,Property,299.34,Low,Closed,2021-12-09 20:57:36.473985,Property claim - Low severity
CL_000023,PH_000857,Auto,18742.67,Critical,Closed,2020-11-22 20:57:36.473985,Auto claim - Critical severity
CL_000024,PH_000590,Auto,390.51,Low,Closed,2022-06-05 20:57:36.473985,Auto claim - Low severity
CL_000025,PH_000974,Auto,361.4,Low,Closed,2025-08-08 20:57:36.473985,Auto claim - Low severity
CL_000026,PH_000784,Life,440.37,Low,Closed,2021-12-13 20:57:36.473985,Life claim - Low severity
CL_000027,PH_000842,Disability,778.24,Low,Closed,2024-03-17 20:57:36.473985,Disability claim - Low severity
CL_000028,PH_000591,Health,511.33,Low,Closed,2025-06-29 20:57:36.473985,Health claim - Low severity
CL_000029,PH_000782,Disability,317.69,Low,Under Review,2021-06-24 20:57:36.473985,Disability claim - Low severity
CL_000030,PH_000180,Property,4281.61,High,Under Review,2023-01-30 20:57:36.473985,Property claim - High severity
CL_000031,PH_000532,Life,291.12,Low,Closed,2022-01-24 20:57:36.473985,Life claim - Low severity
CL_000032,PH_000453,Property,313.96,Low,Closed,2024-02-28 20:57:36.473985,Property claim - Low severity
CL_000033,PH_000186,Auto,1588.49,Medium,Closed,2022-06-09 20:57:36.473985,Auto claim - Medium severity
CL_000034,PH_000447,Property,273.48,Low,Under Review,2022-02-27 20:57:36.473985,Property claim - Low severity
CL_000035,PH_000834,Auto,1034.84,Medium,Closed,2022-12-17 20:57:36.473985,Auto claim - Medium severity
CL_000036,PH_000993,Life,730.14,Low,Closed,2025-03-17 20:57:36.473985,Life claim - Low severity
CL_000037,PH_000482,Auto,472.11,Low,Under Review,2023-10-08 20:57:36.473985,Auto claim - Low severity
CL_000038,PH_000419,Property,878.57,Medium,Under Review,2023-11-07 20:57:36.473985,Property claim - Medium severity
CL_000039,PH_000329,Life,4331.73,High,Closed,2021-12-17 20:57:36.473985,Life claim - High severity
CL_000040,PH_000108,Disability,886.67,Low,Closed,2020-11-28 20:57:36.475984,Disability claim - Low severity
CL_000041,PH_000165,Health,1953.44,Medium,Closed,2023-11-14 20:57:36.475984,Health claim - Medium severity
CL_000042,PH_000422,Auto,4705.62,Critical,Closed,2021-10-30 20:57:36.475984,Auto claim - Critical severity
CL_000043,PH_000508,Property,5212.63,Medium,Closed,2024-02-07 20:57:36.475984,Property claim - Medium severity
CL_000044,PH_000679,Auto,4466.37,High,Closed,2023-06-22 20:57:36.475984,Auto claim - High severity
CL_000045,PH_000834,Health,354.77,Low,Closed,2021-06-15 20:57:36.475984,Health claim - Low severity
CL_000046,PH_000564,Life,367.22,Low,Closed,2025-07-06 20:57:36.475984,Life claim - Low severity
CL_000047,PH_000466,Property,154.67,Low,Closed,2025-03-23 20:57:36.475984,Property claim - Low severity
CL_000048,PH_000323,Health,1340.24,Medium,Under Review,2024-04-21 20:57:36.475984,Health claim - Medium severity
CL_000049,PH_000332,Health,1516.93,Medium,Under Review,2025-01-25 20:57:36.475984,Health claim - Medium severity
CL_000050,PH_000994,Auto,1519.93,Medium,Under Review,2021-05-21 20:57:36.475984,Auto claim - Medium severity
CL_000051,PH_000414,Auto,624.53,Low,Closed,2020-11-13 20:57:36.475984,Auto claim - Low severity
CL_000052,PH_000527,Auto,2619.81,High,Closed,2021-02-03 20:57:36.475984,Auto claim - High severity
CL_000053,PH_000002,Property,387.11,Low,Open,2022-01-12 20:57:36.475984,Property claim - Low severity
CL_000054,PH_000891,Auto,234.25,Low,Closed,2022-09-04 20:57:36.475984,Auto claim - Low severity
CL_000055,PH_000474,Property,2179.92,High,Open,2023-05-27 20:57:36.475984,Property claim - High severity
CL_000056,PH_000056,Property,674.72,Low,Closed,2024-08-31 20:57:36.475984,Property claim - Low severity
CL_000057,PH_000531,Health,506.8,Low,Denied,2023-09-10 20:57:36.475984,Health claim - Low severity
CL_000058,PH_000638,Auto,280.73,Low,Closed,2021-06-23 20:57:36.475984,Auto claim - Low severity
CL_000059,PH_000511,Health,253.63,Low,Open,2022-03-19 20:57:36.475984,Health claim - Low severity
CL_000060,PH_000453,Auto,421.52,Low,Denied,2021-06-16 20:57:36.475984,Auto claim - Low severity
CL_000061,PH_000053,Property,1757.28,Low,Under Review,2024-07-30 20:57:36.476985,Property claim - Low severity
CL_000062,PH_000274,Life,5460.8,High,Closed,2022-08-22 20:57:36.476985,Life claim - High severity
CL_000063,PH_000135,Health,617.57,Low,Closed,2024-02-08 20:57:36.476985,Health claim - Low severity
CL_000064,PH_000449,Auto,390.92,Medium,Closed,2020-10-12 20:57:36.476985,Auto claim - Medium severity
CL_000065,PH_000716,Auto,2038.9,High,Closed,2023-01-01 20:57:36.476985,Auto claim - High severity
CL_000066,PH_000125,Health,2348.09,Medium,Closed,2025-07-22 20:57:36.476985,Health claim - Medium severity
CL_000067,PH_000997,Property,21723.99,Critical,Denied,2022-03-09 20:57:36.476985,Property claim - Critical severity
CL_000068,PH_000624,Health,486.49,Low,Closed,2021-03-28 20:57:36.476985,Health claim - Low severity
CL_000069,PH_000246,Auto,1283.27,Medium,Closed,2021-09-27 20:57:36.476985,Auto claim - Medium severity
