policy_id,policyholder_id,policy_type,coverage_amount,premium_amount,status,start_date,end_date,deductible,coverage_limits
POL_PH_000001_1,PH_000001,Auto,91.34,100,Active,2023-10-12 20:57:36.558125,2024-10-11 20:57:36.558125,2858.72,"{'per_incident': 73.07, 'annual': 91.34, 'lifetime': 182.68}"
POL_PH_000001_2,PH_000001,Home,58.06,100,Active,2024-12-14 20:57:36.558125,2025-12-14 20:57:36.558125,3348.45,"{'per_incident': 46.45, 'annual': 58.06, 'lifetime': 116.12}"
POL_PH_000002_1,PH_000002,Home,165.91,100,Active,2025-05-26 20:57:36.558125,2026-05-26 20:57:36.558125,4253.33,"{'per_incident': 132.73, 'annual': 165.91, 'lifetime': 331.82}"
POL_PH_000003_1,PH_000003,Home,147.93,100,Active,2023-01-20 20:57:36.558125,2024-01-20 20:57:36.558125,337.27,"{'per_incident': 118.34, 'annual': 147.93, 'lifetime': 295.86}"
POL_PH_000003_2,PH_000003,Home,330.46,100,Active,2025-05-10 20:57:36.558125,2026-05-10 20:57:36.558125,4764.01,"{'per_incident': 264.37, 'annual': 330.46, 'lifetime': 660.92}"
POL_PH_000003_3,PH_000003,Auto,92.96,100,Cancelled,2024-09-11 20:57:36.558125,2025-09-11 20:57:36.558125,2563.33,"{'per_incident': 74.37, 'annual': 92.96, 'lifetime': 185.92}"
POL_PH_000004_1,PH_000004,Auto,40.97,100,Active,2023-03-18 20:57:36.559126,2024-03-17 20:57:36.559126,4533.97,"{'per_incident': 32.78, 'annual': 40.97, 'lifetime': 81.94}"
POL_PH_000005_1,PH_000005,Health,13.36,100,Active,2023-06-05 20:57:36.559126,2024-06-04 20:57:36.559126,4447.75,"{'per_incident': 10.69, 'annual': 13.36, 'lifetime': 26.72}"
POL_PH_000006_1,PH_000006,Life,226.56,100,Active,2022-11-09 20:57:36.559126,2023-11-09 20:57:36.559126,3322.78,"{'per_incident': 181.25, 'annual': 226.56, 'lifetime': 453.12}"
POL_PH_000007_1,PH_000007,Auto,50.79,100,Inactive,2025-06-22 20:57:36.559126,2026-06-22 20:57:36.559126,606.95,"{'per_incident': 40.63, 'annual': 50.79, 'lifetime': 101.58}"
POL_PH_000008_1,PH_000008,Home,47.34,100,Inactive,2023-06-30 20:57:36.559126,2024-06-29 20:57:36.559126,3998.48,"{'per_incident': 37.87, 'annual': 47.34, 'lifetime': 94.68}"
POL_PH_000009_1,PH_000009,Auto,53.91,100,Inactive,2023-04-01 20:57:36.559126,2024-03-31 20:57:36.559126,4802.71,"{'per_incident': 43.13, 'annual': 53.91, 'lifetime': 107.82}"
POL_PH_000010_1,PH_000010,Home,25.64,100,Active,2024-09-02 20:57:36.559126,2025-09-02 20:57:36.559126,368.32,"{'per_incident': 20.51, 'annual': 25.64, 'lifetime': 51.28}"
POL_PH_000010_2,PH_000010,Home,63.23,100,Active,2023-08-28 20:57:36.559126,2024-08-27 20:57:36.559126,3020.26,"{'per_incident': 50.58, 'annual': 63.23, 'lifetime': 126.46}"
POL_PH_000011_1,PH_000011,Auto,97.01,100,Inactive,2024-06-08 20:57:36.559126,2025-06-08 20:57:36.559126,1625.07,"{'per_incident': 77.61, 'annual': 97.01, 'lifetime': 194.02}"
POL_PH_000012_1,PH_000012,Auto,13.55,100,Active,2024-08-03 20:57:36.559126,2025-08-03 20:57:36.559126,1419.89,"{'per_incident': 10.84, 'annual': 13.55, 'lifetime': 27.1}"
POL_PH_000013_1,PH_000013,Auto,164.68,100,Inactive,2024-02-05 20:57:36.559126,2025-02-04 20:57:36.559126,2628.49,"{'per_incident': 131.74, 'annual': 164.68, 'lifetime': 329.36}"
POL_PH_000014_1,PH_000014,Auto,436.82,100,Inactive,2024-01-26 20:57:36.559126,2025-01-25 20:57:36.559126,1907.95,"{'per_incident': 349.46, 'annual': 436.82, 'lifetime': 873.64}"
POL_PH_000015_1,PH_000015,Home,126.78,100,Cancelled,2023-02-20 20:57:36.560125,2024-02-20 20:57:36.560125,4883.43,"{'per_incident': 101.42, 'annual': 126.78, 'lifetime': 253.56}"
POL_PH_000015_2,PH_000015,Health,219.44,100,Active,2024-10-21 20:57:36.560125,2025-10-21 20:57:36.560125,4312.92,"{'per_incident': 175.55, 'annual': 219.44, 'lifetime': 438.88}"
POL_PH_000015_3,PH_000015,Home,188.47,100,Active,2025-06-12 20:57:36.560125,2026-06-12 20:57:36.560125,4461.23,"{'per_incident': 150.78, 'annual': 188.47, 'lifetime': 376.94}"
